"dia","grado","asignatura","area","codigo","descripcion"
10,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
11,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
12,"3rd","Bible","Biblical Literacy","3.BL.1.e","I can explain how the gospel was spread after Jesus' ascension (Holy Spirit's coming at Pentecost, persecution of believers, Paul's missionary journeys)."
13,"3rd","Bible","Biblical Literacy","3.BL.1.e","I can explain how the gospel was spread after Jesus' ascension (Holy Spirit's coming at Pentecost, persecution of believers, Paul's missionary journeys)."
14,"3rd","Bible","Biblical Literacy","3.BL.1.f","I can explain the purpose of Jesus' death on the cross."
15,"3rd","Bible","Biblical Literacy","3.BL.1.f","I can explain the purpose of Jesus' death on the cross."
16,"3rd","Bible","Biblical Literacy","3.BL.1.g","I can categorize the New Testament books into Gospels, Acts of the Apostles, letters (Paul's, general), and Revelation."
17,"3rd","Bible","Biblical Literacy","3.BL.1.g","I can categorize the New Testament books into Gospels, Acts of the Apostles, letters (Paul's, general), and Revelation."
18,"3rd","Bible","Biblical Literacy","3.BL.1.h","I can memorize the core Scripture verses (John 1:1-2, John 3:3, Romans 8:38-39, 2 Corinthians 5:17) and explain what they mean to me."
19,"3rd","Bible","Biblical Literacy","3.BL.1.h","I can memorize the core Scripture verses (John 1:1-2, John 3:3, Romans 8:38-39, 2 Corinthians 5:17) and explain what they mean to me."
20,"3rd","Bible","Spiritual Discernment","3.SD.2.a","I can explain how God can guide me through all circumstances as a part of His good plan."
21,"3rd","Bible","Spiritual Discernment","3.SD.2.a","I can explain how God can guide me through all circumstances as a part of His good plan."
22,"3rd","Bible","Spiritual Discernment","3.SD.2.b","I can describe the role of praise and thanksgiving in prayer."
23,"3rd","Bible","Spiritual Discernment","3.SD.2.b","I can describe the role of praise and thanksgiving in prayer."
24,"3rd","Bible","Spiritual Discernment","3.SD.2.c","I can differentiate between helpful and harmful things that go into my mind."
25,"3rd","Bible","Spiritual Discernment","3.SD.2.c","I can differentiate between helpful and harmful things that go into my mind."
26,"3rd","Bible","Biblical Worldview","3.BW.3.a","I can use scripture to show that Jesus is the Word of God."
27,"3rd","Bible","Biblical Worldview","3.BW.3.a","I can use scripture to show that Jesus is the Word of God."
28,"3rd","Bible","Life Application and Service","3.LAS.4.a","I can identify those God has placed in authority over me and name ways I can obey them."
29,"3rd","Bible","Life Application and Service","3.LAS.4.a","I can identify those God has placed in authority over me and name ways I can obey them."
30,"3rd","Bible","Life Application and Service","3.LAS.4.b","I can explain why I should forgive others."
31,"3rd","Bible","Life Application and Service","3.LAS.4.b","I can explain why I should forgive others."
32,"3rd","Bible","Life Application and Service","3.LAS.4.c","I can give examples of how to take responsibility for my actions."
33,"3rd","Bible","Life Application and Service","3.LAS.4.c","I can give examples of how to take responsibility for my actions."
34,"3rd","Bible","Life Application and Service","3.LAS.4.d","I can explain why I should show compassion for people who are poor or in need."
35,"3rd","Bible","Life Application and Service","3.LAS.4.d","I can explain why I should show compassion for people who are poor or in need."
36,"3rd","Bible","Biblical Literacy","3.BL.1.a","I can recall key events in the life of Christ, such as His birth, baptism, temptations, choosing disciples, death, resurrection, and ascension."
37,"3rd","Bible","Biblical Literacy","3.BL.1.a","I can recall key events in the life of Christ, such as His birth, baptism, temptations, choosing disciples, death, resurrection, and ascension."
38,"3rd","Bible","Biblical Literacy","3.BL.1.b","I can identify the meaning of various parables that Jesus told."
39,"3rd","Bible","Biblical Literacy","3.BL.1.b","I can identify the meaning of various parables that Jesus told."
40,"3rd","Bible","Biblical Literacy","3.BL.1.c","I can identify various miracles that Jesus performed."
41,"3rd","Bible","Biblical Literacy","3.BL.1.c","I can identify various miracles that Jesus performed."
42,"3rd","Bible","Biblical Literacy","3.BL.1.d.i","I can locate on a map the locations of Jesus' life (e.g. Bethlehem, Egypt, Nazareth, Jerusalem, Jordan River, Sea of Galilee, Bethany)."
43,"3rd","Bible","Biblical Literacy","3.BL.1.d.i","I can locate on a map the locations of Jesus' life (e.g. Bethlehem, Egypt, Nazareth, Jerusalem, Jordan River, Sea of Galilee, Bethany)."
44,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
45,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
46,"3rd","Bible","Biblical Literacy","3.BL.1.e","I can explain how the gospel was spread after Jesus' ascension (Holy Spirit's coming at Pentecost, persecution of believers, Paul's missionary journeys)."
47,"3rd","Bible","Biblical Literacy","3.BL.1.e","I can explain how the gospel was spread after Jesus' ascension (Holy Spirit's coming at Pentecost, persecution of believers, Paul's missionary journeys)."
48,"3rd","Bible","Biblical Literacy","3.BL.1.f","I can explain the purpose of Jesus' death on the cross."
49,"3rd","Bible","Biblical Literacy","3.BL.1.f","I can explain the purpose of Jesus' death on the cross."
50,"3rd","Bible","Biblical Literacy","3.BL.1.g","I can categorize the New Testament books into Gospels, Acts of the Apostles, letters (Paul's, general), and Revelation."
51,"3rd","Bible","Biblical Literacy","3.BL.1.g","I can categorize the New Testament books into Gospels, Acts of the Apostles, letters (Paul's, general), and Revelation."
52,"3rd","Bible","Biblical Literacy","3.BL.1.h","I can memorize the core Scripture verses (John 1:1-2, John 3:3, Romans 8:38-39, 2 Corinthians 5:17) and explain what they mean to me."
53,"3rd","Bible","Biblical Literacy","3.BL.1.h","I can memorize the core Scripture verses (John 1:1-2, John 3:3, Romans 8:38-39, 2 Corinthians 5:17) and explain what they mean to me."
54,"3rd","Bible","Spiritual Discernment","3.SD.2.a","I can explain how God can guide me through all circumstances as a part of His good plan."
55,"3rd","Bible","Spiritual Discernment","3.SD.2.a","I can explain how God can guide me through all circumstances as a part of His good plan."
56,"3rd","Bible","Spiritual Discernment","3.SD.2.b","I can describe the role of praise and thanksgiving in prayer."
57,"3rd","Bible","Spiritual Discernment","3.SD.2.b","I can describe the role of praise and thanksgiving in prayer."
58,"3rd","Bible","Spiritual Discernment","3.SD.2.c","I can differentiate between helpful and harmful things that go into my mind."
59,"3rd","Bible","Spiritual Discernment","3.SD.2.c","I can differentiate between helpful and harmful things that go into my mind."
60,"3rd","Bible","Biblical Worldview","3.BW.3.a","I can use scripture to show that Jesus is the Word of God."
61,"3rd","Bible","Biblical Worldview","3.BW.3.a","I can use scripture to show that Jesus is the Word of God."
62,"3rd","Bible","Life Application and Service","3.LAS.4.a","I can identify those God has placed in authority over me and name ways I can obey them."
63,"3rd","Bible","Life Application and Service","3.LAS.4.a","I can identify those God has placed in authority over me and name ways I can obey them."
64,"3rd","Bible","Life Application and Service","3.LAS.4.b","I can explain why I should forgive others."
65,"3rd","Bible","Life Application and Service","3.LAS.4.b","I can explain why I should forgive others."
66,"3rd","Bible","Life Application and Service","3.LAS.4.c","I can give examples of how to take responsibility for my actions."
67,"3rd","Bible","Life Application and Service","3.LAS.4.c","I can give examples of how to take responsibility for my actions."
68,"3rd","Bible","Life Application and Service","3.LAS.4.d","I can explain why I should show compassion for people who are poor or in need."
69,"3rd","Bible","Life Application and Service","3.LAS.4.d","I can explain why I should show compassion for people who are poor or in need."
70,"3rd","Bible","Biblical Literacy","3.BL.1.a","I can recall key events in the life of Christ, such as His birth, baptism, temptations, choosing disciples, death, resurrection, and ascension."
71,"3rd","Bible","Biblical Literacy","3.BL.1.a","I can recall key events in the life of Christ, such as His birth, baptism, temptations, choosing disciples, death, resurrection, and ascension."
72,"3rd","Bible","Biblical Literacy","3.BL.1.b","I can identify the meaning of various parables that Jesus told."
73,"3rd","Bible","Biblical Literacy","3.BL.1.b","I can identify the meaning of various parables that Jesus told."
74,"3rd","Bible","Biblical Literacy","3.BL.1.c","I can identify various miracles that Jesus performed."
75,"3rd","Bible","Biblical Literacy","3.BL.1.c","I can identify various miracles that Jesus performed."
76,"3rd","Bible","Biblical Literacy","3.BL.1.d.i","I can locate on a map the locations of Jesus' life (e.g. Bethlehem, Egypt, Nazareth, Jerusalem, Jordan River, Sea of Galilee, Bethany)."
77,"3rd","Bible","Biblical Literacy","3.BL.1.d.i","I can locate on a map the locations of Jesus' life (e.g. Bethlehem, Egypt, Nazareth, Jerusalem, Jordan River, Sea of Galilee, Bethany)."
78,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
79,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
80,"3rd","Bible","Biblical Literacy","3.BL.1.e","I can explain how the gospel was spread after Jesus' ascension (Holy Spirit's coming at Pentecost, persecution of believers, Paul's missionary journeys)."
81,"3rd","Bible","Biblical Literacy","3.BL.1.e","I can explain how the gospel was spread after Jesus' ascension (Holy Spirit's coming at Pentecost, persecution of believers, Paul's missionary journeys)."
82,"3rd","Bible","Biblical Literacy","3.BL.1.f","I can explain the purpose of Jesus' death on the cross."
83,"3rd","Bible","Biblical Literacy","3.BL.1.f","I can explain the purpose of Jesus' death on the cross."
84,"3rd","Bible","Biblical Literacy","3.BL.1.g","I can categorize the New Testament books into Gospels, Acts of the Apostles, letters (Paul's, general), and Revelation."
85,"3rd","Bible","Biblical Literacy","3.BL.1.g","I can categorize the New Testament books into Gospels, Acts of the Apostles, letters (Paul's, general), and Revelation."
86,"3rd","Bible","Biblical Literacy","3.BL.1.h","I can memorize the core Scripture verses (John 1:1-2, John 3:3, Romans 8:38-39, 2 Corinthians 5:17) and explain what they mean to me."
87,"3rd","Bible","Biblical Literacy","3.BL.1.h","I can memorize the core Scripture verses (John 1:1-2, John 3:3, Romans 8:38-39, 2 Corinthians 5:17) and explain what they mean to me."
88,"3rd","Bible","Spiritual Discernment","3.SD.2.a","I can explain how God can guide me through all circumstances as a part of His good plan."
89,"3rd","Bible","Spiritual Discernment","3.SD.2.a","I can explain how God can guide me through all circumstances as a part of His good plan."
90,"3rd","Bible","Spiritual Discernment","3.SD.2.b","I can describe the role of praise and thanksgiving in prayer."
91,"3rd","Bible","Spiritual Discernment","3.SD.2.b","I can describe the role of praise and thanksgiving in prayer."
92,"3rd","Bible","Spiritual Discernment","3.SD.2.c","I can differentiate between helpful and harmful things that go into my mind."
93,"3rd","Bible","Spiritual Discernment","3.SD.2.c","I can differentiate between helpful and harmful things that go into my mind."
94,"3rd","Bible","Biblical Worldview","3.BW.3.a","I can use scripture to show that Jesus is the Word of God."
95,"3rd","Bible","Biblical Worldview","3.BW.3.a","I can use scripture to show that Jesus is the Word of God."
96,"3rd","Bible","Life Application and Service","3.LAS.4.a","I can identify those God has placed in authority over me and name ways I can obey them."
97,"3rd","Bible","Life Application and Service","3.LAS.4.a","I can identify those God has placed in authority over me and name ways I can obey them."
98,"3rd","Bible","Life Application and Service","3.LAS.4.b","I can explain why I should forgive others."
99,"3rd","Bible","Life Application and Service","3.LAS.4.b","I can explain why I should forgive others."
100,"3rd","Bible","Life Application and Service","3.LAS.4.c","I can give examples of how to take responsibility for my actions."
101,"3rd","Bible","Life Application and Service","3.LAS.4.c","I can give examples of how to take responsibility for my actions."
102,"3rd","Bible","Life Application and Service","3.LAS.4.d","I can explain why I should show compassion for people who are poor or in need."
103,"3rd","Bible","Life Application and Service","3.LAS.4.d","I can explain why I should show compassion for people who are poor or in need."
104,"3rd","Bible","Biblical Literacy","3.BL.1.a","I can recall key events in the life of Christ, such as His birth, baptism, temptations, choosing disciples, death, resurrection, and ascension."
105,"3rd","Bible","Biblical Literacy","3.BL.1.a","I can recall key events in the life of Christ, such as His birth, baptism, temptations, choosing disciples, death, resurrection, and ascension."
106,"3rd","Bible","Biblical Literacy","3.BL.1.b","I can identify the meaning of various parables that Jesus told."
107,"3rd","Bible","Biblical Literacy","3.BL.1.b","I can identify the meaning of various parables that Jesus told."
108,"3rd","Bible","Biblical Literacy","3.BL.1.c","I can identify various miracles that Jesus performed."
109,"3rd","Bible","Biblical Literacy","3.BL.1.c","I can identify various miracles that Jesus performed."
110,"3rd","Bible","Biblical Literacy","3.BL.1.d.i","I can locate on a map the locations of Jesus' life (e.g. Bethlehem, Egypt, Nazareth, Jerusalem, Jordan River, Sea of Galilee, Bethany)."
111,"3rd","Bible","Biblical Literacy","3.BL.1.d.i","I can locate on a map the locations of Jesus' life (e.g. Bethlehem, Egypt, Nazareth, Jerusalem, Jordan River, Sea of Galilee, Bethany)."
112,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
113,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
114,"3rd","Bible","Biblical Literacy","3.BL.1.e","I can explain how the gospel was spread after Jesus' ascension (Holy Spirit's coming at Pentecost, persecution of believers, Paul's missionary journeys)."
115,"3rd","Bible","Biblical Literacy","3.BL.1.e","I can explain how the gospel was spread after Jesus' ascension (Holy Spirit's coming at Pentecost, persecution of believers, Paul's missionary journeys)."
116,"3rd","Bible","Biblical Literacy","3.BL.1.f","I can explain the purpose of Jesus' death on the cross."
117,"3rd","Bible","Biblical Literacy","3.BL.1.f","I can explain the purpose of Jesus' death on the cross."
118,"3rd","Bible","Biblical Literacy","3.BL.1.g","I can categorize the New Testament books into Gospels, Acts of the Apostles, letters (Paul's, general), and Revelation."
119,"3rd","Bible","Biblical Literacy","3.BL.1.g","I can categorize the New Testament books into Gospels, Acts of the Apostles, letters (Paul's, general), and Revelation."
120,"3rd","Bible","Biblical Literacy","3.BL.1.h","I can memorize the core Scripture verses (John 1:1-2, John 3:3, Romans 8:38-39, 2 Corinthians 5:17) and explain what they mean to me."
121,"3rd","Bible","Biblical Literacy","3.BL.1.h","I can memorize the core Scripture verses (John 1:1-2, John 3:3, Romans 8:38-39, 2 Corinthians 5:17) and explain what they mean to me."
122,"3rd","Bible","Spiritual Discernment","3.SD.2.a","I can explain how God can guide me through all circumstances as a part of His good plan."
123,"3rd","Bible","Spiritual Discernment","3.SD.2.a","I can explain how God can guide me through all circumstances as a part of His good plan."
124,"3rd","Bible","Spiritual Discernment","3.SD.2.b","I can describe the role of praise and thanksgiving in prayer."
125,"3rd","Bible","Spiritual Discernment","3.SD.2.b","I can describe the role of praise and thanksgiving in prayer."
126,"3rd","Bible","Spiritual Discernment","3.SD.2.c","I can differentiate between helpful and harmful things that go into my mind."
127,"3rd","Bible","Spiritual Discernment","3.SD.2.c","I can differentiate between helpful and harmful things that go into my mind."
128,"3rd","Bible","Biblical Worldview","3.BW.3.a","I can use scripture to show that Jesus is the Word of God."
129,"3rd","Bible","Biblical Worldview","3.BW.3.a","I can use scripture to show that Jesus is the Word of God."
130,"3rd","Bible","Life Application and Service","3.LAS.4.a","I can identify those God has placed in authority over me and name ways I can obey them."
131,"3rd","Bible","Life Application and Service","3.LAS.4.a","I can identify those God has placed in authority over me and name ways I can obey them."
132,"3rd","Bible","Life Application and Service","3.LAS.4.b","I can explain why I should forgive others."
133,"3rd","Bible","Life Application and Service","3.LAS.4.b","I can explain why I should forgive others."
134,"3rd","Bible","Life Application and Service","3.LAS.4.c","I can give examples of how to take responsibility for my actions."
135,"3rd","Bible","Life Application and Service","3.LAS.4.c","I can give examples of how to take responsibility for my actions."
136,"3rd","Bible","Life Application and Service","3.LAS.4.d","I can explain why I should show compassion for people who are poor or in need."
137,"3rd","Bible","Life Application and Service","3.LAS.4.d","I can explain why I should show compassion for people who are poor or in need."
138,"3rd","Bible","Biblical Literacy","3.BL.1.a","I can recall key events in the life of Christ, such as His birth, baptism, temptations, choosing disciples, death, resurrection, and ascension."
139,"3rd","Bible","Biblical Literacy","3.BL.1.a","I can recall key events in the life of Christ, such as His birth, baptism, temptations, choosing disciples, death, resurrection, and ascension."
140,"3rd","Bible","Biblical Literacy","3.BL.1.b","I can identify the meaning of various parables that Jesus told."
141,"3rd","Bible","Biblical Literacy","3.BL.1.b","I can identify the meaning of various parables that Jesus told."
142,"3rd","Bible","Biblical Literacy","3.BL.1.c","I can identify various miracles that Jesus performed."
143,"3rd","Bible","Biblical Literacy","3.BL.1.c","I can identify various miracles that Jesus performed."
144,"3rd","Bible","Biblical Literacy","3.BL.1.d.i","I can locate on a map the locations of Jesus' life (e.g. Bethlehem, Egypt, Nazareth, Jerusalem, Jordan River, Sea of Galilee, Bethany)."
145,"3rd","Bible","Biblical Literacy","3.BL.1.d.i","I can locate on a map the locations of Jesus' life (e.g. Bethlehem, Egypt, Nazareth, Jerusalem, Jordan River, Sea of Galilee, Bethany)."
146,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
147,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
148,"3rd","Bible","Biblical Literacy","3.BL.1.e","I can explain how the gospel was spread after Jesus' ascension (Holy Spirit's coming at Pentecost, persecution of believers, Paul's missionary journeys)."
149,"3rd","Bible","Biblical Literacy","3.BL.1.e","I can explain how the gospel was spread after Jesus' ascension (Holy Spirit's coming at Pentecost, persecution of believers, Paul's missionary journeys)."
150,"3rd","Bible","Biblical Literacy","3.BL.1.f","I can explain the purpose of Jesus' death on the cross."
151,"3rd","Bible","Biblical Literacy","3.BL.1.f","I can explain the purpose of Jesus' death on the cross."
152,"3rd","Bible","Biblical Literacy","3.BL.1.g","I can categorize the New Testament books into Gospels, Acts of the Apostles, letters (Paul's, general), and Revelation."
153,"3rd","Bible","Biblical Literacy","3.BL.1.g","I can categorize the New Testament books into Gospels, Acts of the Apostles, letters (Paul's, general), and Revelation."
154,"3rd","Bible","Biblical Literacy","3.BL.1.h","I can memorize the core Scripture verses (John 1:1-2, John 3:3, Romans 8:38-39, 2 Corinthians 5:17) and explain what they mean to me."
155,"3rd","Bible","Biblical Literacy","3.BL.1.h","I can memorize the core Scripture verses (John 1:1-2, John 3:3, Romans 8:38-39, 2 Corinthians 5:17) and explain what they mean to me."
156,"3rd","Bible","Spiritual Discernment","3.SD.2.a","I can explain how God can guide me through all circumstances as a part of His good plan."
157,"3rd","Bible","Spiritual Discernment","3.SD.2.a","I can explain how God can guide me through all circumstances as a part of His good plan."
158,"3rd","Bible","Spiritual Discernment","3.SD.2.b","I can describe the role of praise and thanksgiving in prayer."
159,"3rd","Bible","Spiritual Discernment","3.SD.2.b","I can describe the role of praise and thanksgiving in prayer."
160,"3rd","Bible","Spiritual Discernment","3.SD.2.c","I can differentiate between helpful and harmful things that go into my mind."
161,"3rd","Bible","Spiritual Discernment","3.SD.2.c","I can differentiate between helpful and harmful things that go into my mind."
162,"3rd","Bible","Biblical Worldview","3.BW.3.a","I can use scripture to show that Jesus is the Word of God."
163,"3rd","Bible","Biblical Worldview","3.BW.3.a","I can use scripture to show that Jesus is the Word of God."
164,"3rd","Bible","Life Application and Service","3.LAS.4.a","I can identify those God has placed in authority over me and name ways I can obey them."
165,"3rd","Bible","Life Application and Service","3.LAS.4.a","I can identify those God has placed in authority over me and name ways I can obey them."
166,"3rd","Bible","Life Application and Service","3.LAS.4.b","I can explain why I should forgive others."
167,"3rd","Bible","Life Application and Service","3.LAS.4.b","I can explain why I should forgive others."
168,"3rd","Bible","Life Application and Service","3.LAS.4.c","I can give examples of how to take responsibility for my actions."
169,"3rd","Bible","Life Application and Service","3.LAS.4.c","I can give examples of how to take responsibility for my actions."
170,"3rd","Bible","Life Application and Service","3.LAS.4.d","I can explain why I should show compassion for people who are poor or in need."
171,"3rd","Bible","Life Application and Service","3.LAS.4.d","I can explain why I should show compassion for people who are poor or in need."
172,"3rd","Bible","Biblical Literacy","3.BL.1.a","I can recall key events in the life of Christ, such as His birth, baptism, temptations, choosing disciples, death, resurrection, and ascension."
173,"3rd","Bible","Biblical Literacy","3.BL.1.a","I can recall key events in the life of Christ, such as His birth, baptism, temptations, choosing disciples, death, resurrection, and ascension."
174,"3rd","Bible","Biblical Literacy","3.BL.1.b","I can identify the meaning of various parables that Jesus told."
175,"3rd","Bible","Biblical Literacy","3.BL.1.b","I can identify the meaning of various parables that Jesus told."
176,"3rd","Bible","Biblical Literacy","3.BL.1.c","I can identify various miracles that Jesus performed."
177,"3rd","Bible","Biblical Literacy","3.BL.1.c","I can identify various miracles that Jesus performed."
178,"3rd","Bible","Biblical Literacy","3.BL.1.d.i","I can locate on a map the locations of Jesus' life (e.g. Bethlehem, Egypt, Nazareth, Jerusalem, Jordan River, Sea of Galilee, Bethany)."
179,"3rd","Bible","Biblical Literacy","3.BL.1.d.i","I can locate on a map the locations of Jesus' life (e.g. Bethlehem, Egypt, Nazareth, Jerusalem, Jordan River, Sea of Galilee, Bethany)."
180,"3rd","Bible","Biblical Literacy","3.BL.1.d.ii","I can locate on a map the cities in Paul's journeys."
1,"4th","Bible","Biblical Literacy","4.BL.1.a","I can explain the fall of man and his need of salvation."
2,"4th","Bible","Biblical Literacy","4.BL.1.a","I can explain the fall of man and his need of salvation."
3,"4th","Bible","Biblical Literacy","4.BL.1.b","I can identify the three Persons of the Trinity and describe their roles."
4,"4th","Bible","Biblical Literacy","4.BL.1.b","I can identify the three Persons of the Trinity and describe their roles."
5,"4th","Bible","Biblical Literacy","4.BL.1.c","I can describe how a person can be saved."
6,"4th","Bible","Biblical Literacy","4.BL.1.c","I can describe how a person can be saved."
7,"4th","Bible","Biblical Literacy","4.BL.1.d","I can articulate ways that a person develops his/her Christian life (devotions, prayer, fellowship in the Church, witnessing, holding on to the truth)."
8,"4th","Bible","Biblical Literacy","4.BL.1.d","I can articulate ways that a person develops his/her Christian life (devotions, prayer, fellowship in the Church, witnessing, holding on to the truth)."
9,"4th","Bible","Biblical Literacy","4.BL.1.e","I can memorize the core Scripture verses (Micah 6:8, Matthew 28:18-20, John 14:6-7, Ephesians 2:8-9) and explain how they apply to my life."
10,"4th","Bible","Biblical Literacy","4.BL.1.e","I can memorize the core Scripture verses (Micah 6:8, Matthew 28:18-20, John 14:6-7, Ephesians 2:8-9) and explain how they apply to my life."
11,"4th","Bible","Spiritual Discernment","4.SD.2.a","I can explain ways that the Holy Spirit works in a Christian's life to guide them through all circumstances."
12,"4th","Bible","Spiritual Discernment","4.SD.2.a","I can explain ways that the Holy Spirit works in a Christian's life to guide them through all circumstances."
13,"4th","Bible","Spiritual Discernment","4.SD.2.b","I can list attributes of God for which He is worthy of our praise."
14,"4th","Bible","Spiritual Discernment","4.SD.2.b","I can list attributes of God for which He is worthy of our praise."
15,"4th","Bible","Spiritual Discernment","4.SD.2.c","I can appraise my value based on God creating me in His own image."
16,"4th","Bible","Spiritual Discernment","4.SD.2.c","I can appraise my value based on God creating me in His own image."
17,"4th","Bible","Spiritual Discernment","4.SD.2.d","I can describe ways of resisting temptation and Satan's deceptions."
18,"4th","Bible","Spiritual Discernment","4.SD.2.d","I can describe ways of resisting temptation and Satan's deceptions."
19,"4th","Bible","Biblical Worldview","4.BW.3.a","I can explain that the Bible is God's true, inspired, and eternal Word."
20,"4th","Bible","Biblical Worldview","4.BW.3.a","I can explain that the Bible is God's true, inspired, and eternal Word."
21,"4th","Bible","Life Application and Service","4.LAS.4.a","I can explain that God places people in authority over me as part of His plan for me."
22,"4th","Bible","Life Application and Service","4.LAS.4.a","I can explain that God places people in authority over me as part of His plan for me."
23,"4th","Bible","Life Application and Service","4.LAS.4.b","I can explain my need for forgiveness from God and others."
24,"4th","Bible","Life Application and Service","4.LAS.4.b","I can explain my need for forgiveness from God and others."
25,"4th","Bible","Life Application and Service","4.LAS.4.c","I can differentiate between being honest about and making excuses for (rationalizing) behaviors and choices."
26,"4th","Bible","Life Application and Service","4.LAS.4.c","I can differentiate between being honest about and making excuses for (rationalizing) behaviors and choices."
27,"4th","Bible","Life Application and Service","4.LAS.4.d","I can explain that acts of service, especially to the poor and needy, are an important part of developing my Christian life."
28,"4th","Bible","Life Application and Service","4.LAS.4.d","I can explain that acts of service, especially to the poor and needy, are an important part of developing my Christian life."
29,"4th","Bible","Biblical Literacy","4.BL.1.a","I can explain the fall of man and his need of salvation."
30,"4th","Bible","Biblical Literacy","4.BL.1.a","I can explain the fall of man and his need of salvation."
31,"4th","Bible","Biblical Literacy","4.BL.1.b","I can identify the three Persons of the Trinity and describe their roles."
32,"4th","Bible","Biblical Literacy","4.BL.1.b","I can identify the three Persons of the Trinity and describe their roles."
33,"4th","Bible","Biblical Literacy","4.BL.1.c","I can describe how a person can be saved."
34,"4th","Bible","Biblical Literacy","4.BL.1.c","I can describe how a person can be saved."
35,"4th","Bible","Biblical Literacy","4.BL.1.d","I can articulate ways that a person develops his/her Christian life (devotions, prayer, fellowship in the Church, witnessing, holding on to the truth)."
36,"4th","Bible","Biblical Literacy","4.BL.1.d","I can articulate ways that a person develops his/her Christian life (devotions, prayer, fellowship in the Church, witnessing, holding on to the truth)."
37,"4th","Bible","Biblical Literacy","4.BL.1.e","I can memorize the core Scripture verses (Micah 6:8, Matthew 28:18-20, John 14:6-7, Ephesians 2:8-9) and explain how they apply to my life."
38,"4th","Bible","Biblical Literacy","4.BL.1.e","I can memorize the core Scripture verses (Micah 6:8, Matthew 28:18-20, John 14:6-7, Ephesians 2:8-9) and explain how they apply to my life."
39,"4th","Bible","Spiritual Discernment","4.SD.2.a","I can explain ways that the Holy Spirit works in a Christian's life to guide them through all circumstances."
40,"4th","Bible","Spiritual Discernment","4.SD.2.a","I can explain ways that the Holy Spirit works in a Christian's life to guide them through all circumstances."
41,"4th","Bible","Spiritual Discernment","4.SD.2.b","I can list attributes of God for which He is worthy of our praise."
42,"4th","Bible","Spiritual Discernment","4.SD.2.b","I can list attributes of God for which He is worthy of our praise."
43,"4th","Bible","Spiritual Discernment","4.SD.2.c","I can appraise my value based on God creating me in His own image."
44,"4th","Bible","Spiritual Discernment","4.SD.2.c","I can appraise my value based on God creating me in His own image."
45,"4th","Bible","Spiritual Discernment","4.SD.2.d","I can describe ways of resisting temptation and Satan's deceptions."
46,"4th","Bible","Spiritual Discernment","4.SD.2.d","I can describe ways of resisting temptation and Satan's deceptions."
47,"4th","Bible","Biblical Worldview","4.BW.3.a","I can explain that the Bible is God's true, inspired, and eternal Word."
48,"4th","Bible","Biblical Worldview","4.BW.3.a","I can explain that the Bible is God's true, inspired, and eternal Word."
49,"4th","Bible","Life Application and Service","4.LAS.4.a","I can explain that God places people in authority over me as part of His plan for me."
50,"4th","Bible","Life Application and Service","4.LAS.4.a","I can explain that God places people in authority over me as part of His plan for me."
51,"4th","Bible","Life Application and Service","4.LAS.4.b","I can explain my need for forgiveness from God and others."
52,"4th","Bible","Life Application and Service","4.LAS.4.b","I can explain my need for forgiveness from God and others."
53,"4th","Bible","Life Application and Service","4.LAS.4.c","I can differentiate between being honest about and making excuses for (rationalizing) behaviors and choices."
54,"4th","Bible","Life Application and Service","4.LAS.4.c","I can differentiate between being honest about and making excuses for (rationalizing) behaviors and choices."
55,"4th","Bible","Life Application and Service","4.LAS.4.d","I can explain that acts of service, especially to the poor and needy, are an important part of developing my Christian life."
56,"4th","Bible","Life Application and Service","4.LAS.4.d","I can explain that acts of service, especially to the poor and needy, are an important part of developing my Christian life."
57,"4th","Bible","Biblical Literacy","4.BL.1.a","I can explain the fall of man and his need of salvation."
58,"4th","Bible","Biblical Literacy","4.BL.1.a","I can explain the fall of man and his need of salvation."
59,"4th","Bible","Biblical Literacy","4.BL.1.b","I can identify the three Persons of the Trinity and describe their roles."
60,"4th","Bible","Biblical Literacy","4.BL.1.b","I can identify the three Persons of the Trinity and describe their roles."
61,"4th","Bible","Biblical Literacy","4.BL.1.c","I can describe how a person can be saved."
62,"4th","Bible","Biblical Literacy","4.BL.1.c","I can describe how a person can be saved."
63,"4th","Bible","Biblical Literacy","4.BL.1.d","I can articulate ways that a person develops his/her Christian life (devotions, prayer, fellowship in the Church, witnessing, holding on to the truth)."
