Grade;Area;Topic;Code;Description
 9-12;Advanced Theatre Course Standards ;Convey meaning through the presentation of artistic work;A.T.P.06;Record decisions about interpreting written music (e.g., adding dynamics or accents to a score). 
 9-12;Advanced Theatre Course Standards ;Perceive and analyze artistic work;A.T.R.O7; Refine musical interpretations exploring different phrasing (e.g., incorporating tension, release, unity, and variety). 
 9-12;Advanced Theatre Course Standards ;Interpret intent and meaning in artistic work;A.T.R.O8;Identify advanced strategies musicians use to practice and employ them in readying a musical work for performance. 
 9-12;Advanced Theatre Course Standards ;Apply criteria to evaluate artistic work;A.T.R.O9;"Perform with accuracy and expression works from the vocal or instrumental literature with a level of difficulty of 3, on a scale of 1 to 6; or a comparable scale. "
 9-12;Advanced Theatre Course Standards ;Synthesize and relate knowledge and personal experiences to make art;A.T.Co.10;Describe how decisions about a performance are connected to what students want to express, evoke, or communicate. 
 9-12;Advanced Theatre Course Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;A.T.Co.11;Analyze the style a musician uses and how it manifests itself in a given musical work.
 9-12;Technical Theatre Course Standards ;Generate and conceptualize artistic ideas and work;T.T.P.01; Identify elements from a work that connect it to a specific genre or style. 
 9-12;Technical Theatre Course Standards ;Organize and develop artistic ideas and work;T.T.P.02;Compare and contrast different rubrics or criteria for evaluating music to identify advantages and disadvantages of each approach.
 9-12;Technical Theatre Course Standards ;Refine and complete artistic work;T.T.P.03;Describe what has influenced changes in one?s own musical style, and musical preferences. 
 9-12;Technical Theatre Course Standards ;Select, analyze and interpret artistic work for presentation;T.T.Cr.04;Identify the connections between historical and cultural contexts and defining stylistic elements of multiple musical movements (e.g., Aaron Copland's quest for an American sound, or how Billie Holiday's ?Strange Fruit? sparked a genre of protest songs).
 9-12;Technical Theatre Course Standards ;Develop and refine artistic techniques and work for presentation;T.T.Cr.05;Apply research to support musical interpretation (e.g., students listen to several different recordings of a given piece to determine an approach to interpretation). 
 9-12;Technical Theatre Course Standards ;Convey meaning through the presentation of artistic work;T.T.Cr.06;Arrange a melody for multiple instruments or voices. 
 9-12;Technical Theatre Course Standards ;Perceive and analyze artistic work;T.T.R.07;Refine draft arrangements to ensure consistency in style, genre, and notation.
 9-12;Technical Theatre Course Standards ;Interpret intent and meaning in artistic work;T.T.R.08;Contribute to the production of a small group performance (e.g., run a section of a rehearsal). 
 9-12;Technical Theatre Course Standards ;Apply criteria to evaluate artistic work;T.T.R.09;"Perform with accuracy and expression works from the vocal or instrumental literature with a level of difficulty of 4, on a scale of 1 to 6; or a comparable scale. "
 9-12;Technical Theatre Course Standards ;Synthesize and relate knowledge and personal experiences to make art;T.T.Co.10;Modify a performance by anticipating audience responses to better align to student's artistic intent. 
 9-12;Technical Theatre Course Standards ;Relate artistic ideas and works to societal, cultural and historical;T.T.Co.11;Examine how structure of music impacts and informs performances. 
 9-12;Foundations Visual Arts Course Standards ;Generate and conceptualize artistic ideas and work;F.V.Cr.01;Compare and contrast the artistic elements that make contemporary music unique (e.g., compare and contrast how contemporary music is different from contemporary interpretations of a classical work). 
 9-12;Foundations Visual Arts Course Standards ;Organize and develop artistic ideas and work;F.V.Cr.02;Choose and defend different criteria for evaluating a specific musical performance. 
 9-12;Foundations Visual Arts Course Standards ;Refine and complete artistic work;F.V.Cr.03;Describe how music influences one?s approach to other academic disciplines (e.g., how the physics of sound influences how one makes music).
 9-12;Foundations Visual Arts Course Standards ;Select, analyze and interpret artistic work for presentation;F.V.P.04;Explain the relationship between music and commercialization or propaganda (e.g., how Nike's use of 'Revolution' by the Beatlesÿsparked controversy, or how Wagner?s music was used by Nazi Germany).
 9-12;Foundations Visual Arts Course Standards ;Develop and refine artistic techniques and work for presentation;F.V.P.05;Generate instrumental or vocal interpretations that integrate aesthetic principles with personal style. 
 9-12;Foundations Visual Arts Course Standards ;Convey meaning through the presentation of artistic work;F.V.P.06; Arrange pieces for multiple instruments or voices in an array of genres and styles. 
 9-12;Foundations Visual Arts Course Standards ;Perceive and analyze artistic work;F.V.R.07;" Identify musical challenges and reflect upon the advantages and disadvantages of different solutions (e.g., in playing an instrument, the ideal hand position for a difficult phrase; in singing, breath spacing in aÿlong passage)."
 9-12;Foundations Visual Arts Course Standards ;Interpret intent and meaning in artistic work;F.V.R.08;Organize and lead a small group performance (e.g., run rehearsals). 
 9-12;Foundations Visual Arts Course Standards ;Apply criteria to evaluate artistic work;F.V.R.09;" Perform with accuracy and expression works from the vocal or instrumental literature with a level of difficulty of 5, on a scale of 1 to 6; or a comparable scale."
 9-12;Foundations Visual Arts Course Standards ;Synthesize and relate knowledge and personal experiences to make art;F.V.Co.10;Perform a musical work designed to elicit audience reflection because of its style or viewpoint. 
 9-12;Foundations Visual Arts Course Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;F.V.Co.11;Identify ways a contemporary musical piece pushes boundaries of the genre and discipline.
 9-12;Proficient Visual Arts Course Standards ;Generate and conceptualize artistic ideas and work;P.V.Cr.01;Analyze the ways one?s own cultural and personal perspectives and biases affect understanding of a musical work. 
 9-12;Proficient Visual Arts Course Standards ;Organize and develop artistic ideas and work;P.V.Cr.02;Identify how bias, culture, and privilege can affect the criteria one uses to evaluate musical performance. 
 9-12;Proficient Visual Arts Course Standards ;Refine and complete artistic work;P.V.Cr.03;Explain the development of the group's aesthetic vision as an ensemble and how it is represented in a performance. 
 9-12;Proficient Visual Arts Course Standards ;Select, analyze and interpret artistic work for presentation;P.V.P.04;Identify the historical and cultural contexts that caused shifting of stylistic elements between musical movements. 
 9-12;Proficient Visual Arts Course Standards ;Develop and refine artistic techniques and work for presentation;P.V.P.05;Consistently apply research to generate compositional ideas (e.g., to help generate new ideas, students listen to several different recordings of pieces that use industrial sounds). 
 9-12;Proficient Visual Arts Course Standards ;Convey meaning through the presentation of artistic work;P.V.P.06; Document strategies used regularly to organize artistic ideas (e.g., building off of sub-dominate scales, or composing using a sonata form). 
 9-12;Proficient Visual Arts Course Standards ;Perceive and analyze artistic work;P.V.R.07;Refine musical pieces to extended rhythmic and harmonic ideas (e.g., composing in unusual time signatures or moving beyond I, IV, V progressions). 
 9-12;Proficient Visual Arts Course Standards ;Interpret intent and meaning in artistic work;P.V.R.08;Explain how one?s composition relates to established musical genres, styles, forms (e.g., explain how one?s piece combines elements of jazz and Celtic music). 
 9-12;Proficient Visual Arts Course Standards ;Apply criteria to evaluate artistic work;P.V.R.09;Lead the production and sharing of an original composition (e.g., a student leads a concert in which her work is performed). 
 9-12;Proficient Visual Arts Course Standards ;Synthesize and relate knowledge and personal experiences to make art;P.V.Co.10; Perform a musical work that causes audience reflection by presenting different musical styles or viewpoints (e.g., a student shows originality in adapting a particular style of playing or singing.
 9-12;Proficient Visual Arts Course Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;P.V.Co.11; Identify ways contemporary musical compositions pushes boundaries of the genre and discipline. (e.g., how Cher's use of Auto-Tune affected the music industry). 
 9-12;Advanced Visual Arts Course Standards ;Generate and conceptualize artistic ideas and work;A.V.Cr.01;. Analyze
 9-12;Advanced Visual Arts Course Standards ;Organize and develop artistic ideas and work;A.V.Cr.02;the ways one?s own cultural and personal perspectives and biases affect how one
 9-12;Advanced Visual Arts Course Standards ;Refine and complete artistic work;A.V.Cr.03;understands specific musical works. (e.g., noticing how a song's popularity influences
 9-12;Advanced Visual Arts Course Standards ;Select, analyze and interpret artistic work for presentation;A.V.P.04;student perspectives on the song).
 9-12;Advanced Visual Arts Course Standards ;Develop and refine artistic techniques and work for presentation;A.V.P.05;Construct an argument for selecting one criteria over another for evaluating a musical composition. 
 9-12;Advanced Visual Arts Course Standards ;Convey meaning through the presentation of artistic work;A.V.P.06;Explain the development of one?s musicality or musical style and how it relates to a composition. 
 9-12;Advanced Visual Arts Course Standards ;Perceive and analyze artistic work;A.V.R.07; Identify the social, cultural, and personal influences on one's musical style as a composer or musician. 
 9-12;Advanced Visual Arts Course Standards ;Interpret intent and meaning in artistic work;A.V.R.08;Create theatrical ideas (e.g., plot, setting, character) that reflect characteristics of different artistic movements. 
 9-12;Advanced Visual Arts Course Standards ;Apply criteria to evaluate artistic work;A.V.R.09;Create an outline for an original scene or short play, including details such as costumes or scenery.
 9-12;Advanced Visual Arts Course Standards ;Synthesize and relate knowledge and personal experiences to make art;A.V.Co.10;Refine and revise character dialogue, stage directions and sensory details of imagined worlds. 
 9-12;Advanced Visual Arts Course Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;A.V.Co.11;Identify historical sources that explain drama/theatre terminology and conventions. 
