Grade;Area;Topic;Code;Description
 9-12;Proficient Course Dance Standards;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;P.D.Co.11;Identify dance ideas from different cultures connected to different historical populations.
 9-12;Advanced Course Dance Standards ;Generate and conceptualize artistic ideas and work;A.D.Cr.01;Generate media arts ideas that integrate multiple images, sound and interactivity in a variety of ways.
 9-12;Advanced Course Dance Standards ;Organize and develop artistic ideas and work;A.D.Cr.02;Develop artistic plans that are clear enough for others to implement those ideas.
 9-12;Advanced Course Dance Standards ;Refine and complete artistic work;A.D.Cr.03;Apply strategies to overcome creative blocks. 
 9-12;Advanced Course Dance Standards ;Select, analyze and interpret artistic work for presentation;A.D.P.04; Prepare a theme-based exhibition. 
 9-12;Advanced Course Dance Standards ; Develop and refine artistic techniques and work for presentation;A.D.P.05; Utilize different approaches to share media work. 
 9-12;Advanced Course Dance Standards ; Convey meaning through the presentation of artistic work;A.D.P.06;Match a media work with expressed intent (e.g. wanting the audience to feel tension between two positions). 
 9-12;Advanced Course Dance Standards ; Perceive and analyze artistic work;A.D.R.07;Analyze how culture is reflected in a diverse range of media works. 
 9-12;Advanced Course Dance Standards ; Interpret intent and meaning in artistic work;A.D.R.08;Explain how a media artwork is connected to the particular cultural, historical context where it was created. 
 9-12;Advanced Course Dance Standards ; Apply criteria to evaluate artistic work;A.D.R.09;Develop criteria for evaluating a collection of media artwork (e.g., students create criteria for a media exhibition that is juried by students). 
 9-12;Advanced Course Dance Standards ; Synthesize and relate knowledge and personal experiences to make art;A.D.Co.10;Describe and demonstrate influences of personal artistic style and preferences in media arts. 
 9-12;Advanced Course Dance Standards ; Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;A.D.Co.11; Explain and demonstrate how the media art are evolving in different cultures (e.g., how media arts are evolving differently in Korea versus the United States).
 9-12;Foundations Course Media Arts Standards ;Generate and conceptualize artistic ideas and work;F.MA.Cr.01; Compose musical ideas (e.g., rhythms, melodies, ostinato, and harmonies) using expanded forms (e.g., introductions, transitions, codas). 
 9-12;Foundations Course Media Arts Standards ;Organize and develop artistic ideas and work;F.MA.Cr.02;Document an original melody and simple accompaniment using standard notation (e.g., a melody and chords). 
 9-12;Foundations Course Media Arts Standards ; Refine and complete artistic work;F.MA.Cr.03;Refine draft arrangements to ensure consistency in notation (e.g., key signatures, notes, and rhythms are written correctly). 
 9-12;Foundations Course Media Arts Standards ;Select, analyze and interpret artistic work for presentation;F.MA.P.04;Identify basic strategies musicians use to practice and employ them in readying a musical work for performance. 
 9-12;Foundations Course Media Arts Standards ;Develop and refine artistic techniques and work for presentation;F.MA.P.05;" Perform with accuracy and expression a repertoire of vocal or instrumental literature with a level of difficulty of 1, on a scale of 1 to 6; or a comparable scale with at least four harmonic parts."
 9-12;Foundations Course Media Arts Standards ;Convey meaning through the presentation of artistic work;F.MA.P.06;Match a musical performance or composition with expressed intent (e.g., wanting the audience to feel a particular emotion). 
 9-12;Foundations Course Media Arts Standards ;Perceive and analyze artistic work;F.MA.R.07;Analyze how cultures are reflected in a diverse range of musical work. 
 9-12;Foundations Course Media Arts Standards ;Interpret intent and meaning in artistic work;F.MA.R.08;Explain how a musical work is connected to the particular cultural and historical context where it was created. 
 9-12;Foundations Course Media Arts Standards ;Apply criteria to evaluate artistic work;F.MA.R.09; Develop criteria for a rubric for evaluating musical works (e.g., students create criteria for a performance that is juried by students).
 9-12;Foundations Course Media Arts Standards ;Synthesize and relate knowledge and personal experiences to make art;F.MA.Co.10;Describe and demonstrate influences of one?s personal musical style and preferences. 
 9-12;Foundations Course Media Arts Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;F.MA.Co.11;Identify how musical ideas and traditions migrate with the people who originated them to affect other cultures, historical periods, and musical genres and styles (e.g., immigrant European folk music).
 9-12;Proficient Course Media Arts Standards ;Generate and conceptualize artistic ideas and work;P.MA.Cr.01;Generate contextual ideas for a character beyond what is given in the script (e.g., a character's backstory, attitudes, likes, and dislikes) and explain how these ideas connect to other elementsÿin the play (e.g., setting, plot).
 9-12;Proficient Course Media Arts Standards ;Organize and develop artistic ideas and work;P.MA.Cr.02;Utilize personal notes to support performing in roles with extensive verbal lines and performance directions. 
 9-12;Proficient Course Media Arts Standards ;Refine and complete artistic work;P.MA.Cr.03;
 9-12;Proficient Course Media Arts Standards ;Select, analyze and interpret artistic work for presentation;P.MA.P.04;a. Develop a scripted character by articulating and using the character's inner thoughts, objectives, and motivations in a theatrical work.
 9-12;Proficient Course Media Arts Standards ;Develop and refine artistic techniques and work for presentation;P.MA.P.05;b. Apply strategies to overcome creative blocks.
 9-12;Proficient Course Media Arts Standards ;Convey meaning through the presentation of artistic work;P.MA.P.06;Envision and describe a scripted character's inner thoughts and objectives related to the given circumstances in a theatrical work. 
 9-12;Proficient Course Media Arts Standards ;Perceive and analyze artistic work;P.MA.R.07;
 9-12;Proficient Course Media Arts Standards ;Interpret intent and meaning in artistic work;P.MA.R.08;a. Use various acting techniques to expand skills and develop character choices in a theatrical work.
