Grade;Area;Topic;Code;Description
06-ago;Computational Thinking;Abstraction;6-8.CT.a.2;Define a simple function that represents a more complex task/problem and can be reused to solve similar tasks/problems.
06-ago;Computational Thinking;Abstraction;6-8.CT.a.3;Use decomposition to define and apply a hierarchical classification scheme to a complex system, such as the human body, animal classification, or in computing.
06-ago;Computational Thinking;Algorithms;6-8.CT.b.1;Design solutions that use repetition and conditionals.
06-ago;Computational Thinking;Algorithms;6-8.CT.b.2;Use logical reasoning to predict outputs given varying inputs.
06-ago;Computational Thinking;Algorithms;6-8.CT.b.3;Individually and collaboratively decompose a problem and create a sub-solution for each of its parts (e.g., video game, robot obstacle course, making dinner).
06-ago;Computational Thinking;Algorithms;6-8.CT.b.4;Recognize that more than one algorithm can solve a given problem.
06-ago;Computational Thinking;Algorithms;6-8.CT.b.5;Recognize that boundaries need to be taken into account for an algorithm to produce correct results.
06-ago;Computational Thinking;Data;6-8.CT.c.1;Demonstrate that numbers can be represented in different base systems (e.g., binary, octal, and hexadecimal) and text can be represented in different ways (e.g., American Standard Code for Information Interchange [ASCII]).
06-ago;Computational Thinking;Data;6-8.CT.c.2;Describe how computers store, manipulate, and transfer data types and files (e.g., integers, real numbers, Boolean Operators) in a binary system.
06-ago;Computational Thinking;Data;6-8.CT.c.3;Create, modify, and use a database (e.g., define field formats, add new records, manipulate data), individually and collaboratively, to analyze data and propose solutions for a task/problem.
06-ago;Computational Thinking;Data;6-8.CT.c.4;Perform a variety of operations such as sorting, filtering, and searching in a database to organize and display information in a variety of ways such as number formats (scientific notation and percentages), charts, tables, and graphs.
06-ago;Computational Thinking;Data;6-8.CT.c.5;Select and use data-collection technology (e.g., probes, handheld devices, geographic mapping systems) to individually and collaboratively gather, view, organize, analyze, and report results for content-related problems.
06-ago;Computational Thinking;Programming and Development;6-8.CT.d.1;Individually and collaboratively compare algorithms to solve a problem, based on a given criteria (e.g., time, resource, accessibility).
06-ago;Computational Thinking;Programming and Development;6-8.CT.d.2;Use functions to hide the detail in a program.
06-ago;Computational Thinking;Programming and Development;6-8.CT.d.3;Create a program, individually and collaboratively, that implements an algorithm to achieve a given goal.
06-ago;Computational Thinking;Programming and Development;6-8.CT.d.4;Implement problem solutions using a programming language, including all of the following: looping behavior, conditional statements, expressions, variables, and functions.
06-ago;Computational Thinking;Programming and Development;6-8.CT.d.5;Trace programs step-by-step in order to predict their behavior.
06-ago;Computational Thinking;Programming and Development;6-8.CT.d.6;Use an iterative approach in development and debugging to understand the dimensions of a problem clearly.
06-ago;Computational Thinking;Modeling and Simulation;6-8.CT.e.1;Create a model of a real-world system and explain why some details, features and behaviors were required in the model and why some could be ignored.
06-ago;Computational Thinking;Modeling and Simulation;6-8.CT.e.2;Use and modify simulations to analyze and illustrate a concept in depth (e.g., light rays/mechanical waves interaction with materials, genetic variation).
06-ago;Computational Thinking;Modeling and Simulation;6-8.CT.e.3;Select and use computer simulations, individually and collaboratively, to gather, view, analyze, and report results for content-related problems (e.g., migration, trade, cellular function).
09-dic;Computing and Society;Safety and Security;9-12.CAS.a.1;Evaluate and design an ergonomic work environment.
09-dic;Computing and Society;Safety and Security;9-12.CAS.a.2;Explain safe practices when collaborating online, including how to anticipate potentially dangerous situations.
09-dic;Computing and Society;Safety and Security;9-12.CAS.a.3;Construct strategies to combat cyberbullying/harassment.
09-dic;Computing and Society;Safety and Security;9-12.CAS.a.4;Identify the mental health consequences of cyberbullying/harassment.
09-dic;Computing and Society;Safety and Security;9-12.CAS.a.5;Explain how peer pressure in social computing settings influences choices.
09-dic;Computing and Society;Safety and Security;9-12.CAS.a.6;Apply strategies for managing negative peer pressure and encouraging positive peer pressure.
09-dic;Computing and Society;Ethics and Laws;9-12.CAS.b.1;Model mastery of the school?s Acceptable Use Policy [AUP].
09-dic;Computing and Society;Ethics and Laws;9-12.CAS.b.2;Identify computer-related laws and analyze their impact on digital privacy, security, intellectual property, network access, contracts, and consequences of sexting and harassment.
09-dic;Computing and Society;Ethics and Laws;9-12.CAS.b.3;Discuss the legal and ethical implications associated with malicious hacking and software piracy.
09-dic;Computing and Society;Ethics and Laws;9-12.CAS.b.4;Interpret software license agreements and application permissions.
09-dic;Computing and Society;Interpersonal and Societal Impact;9-12.CAS.c.1;Explain the impact of the digital divide on access to critical information.
09-dic;Computing and Society;Interpersonal and Societal Impact;9-12.CAS.c.2;Discuss the impact of computing technology on business and commerce (e.g., automated tracking of goods, automated financial transaction, e-commerce, cloud computing).
09-dic;Computing and Society;Interpersonal and Societal Impact;9-12.CAS.c.3;Describe the role that assistive technology can play in people?s lives.
09-dic;Computing and Society;Interpersonal and Societal Impact;9-12.CAS.c.4;Create a digital artifact that is designed to be accessible (e.g., closed captioning for audio, alternative text for images).
